REGNE;PHYLUM;CLASSE;ORDRE;FAMILLE;CD_NOM;CD_TAXSUP;CD_REF;RANG;LB_NOM;LB_AUTEUR;NOM_COMPLET;NOM_VALIDE;NOM_VERN;NOM_VERN_ENG;HABITAT;FR;GF;MAR;GUA;SM;SB;SPM;MAY;EPA;REU;SA;TA;TAAF;NC;WF;PF;CLI
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;441604;188728;441604;ES;Accipiter bicolor;(Vieillot, 1817);Accipiter bicolor (Vieillot, 1817);Accipiter bicolor (Vieillot, 1817);Épervier bicolore ;;3;;P;;;;;;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;9999999;188728;441604;ES;Espèce test;(Vieillot, 1817);Accipiter bicolor (Vieillot, 1817);Accipiter bicolor (Vieillot, 1817);Épervier bicolore ;;3;;P;;;;;;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;645315;188728;645315;ES;Accipiter cooperii;(Bonaparte, 1828);Accipiter cooperii (Bonaparte, 1828);Accipiter cooperii (Bonaparte, 1828);Épervier de Cooper;;3;;;;;;;Q;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;698711;188728;698711;ES;Accipiter efficax;Balouet & Olson, 1989;Accipiter efficax Balouet & Olson, 1989;Accipiter efficax Balouet & Olson, 1989;;;3;A;A;A;A;A;A;A;A;A;A;A;A;A;Z;A;A;A
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;441605;188728;441605;ES;Accipiter fasciatus;(Vigors & Horsfield, 1826);Accipiter fasciatus (Vigors & Horsfield, 1826);Accipiter fasciatus (Vigors & Horsfield, 1826);;;3;;;;;;;;;;;;;;P;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;432708;441605;432708;SSES;Accipiter fasciatus vigilax;(Wetmore, 1926);Accipiter fasciatus vigilax (Wetmore, 1926);Accipiter fasciatus vigilax (Wetmore, 1926);Autour australien, Émouchet gris;Brown Goshawk;3;;;;;;;;;;;;;;P;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;459459;0;441606;ES;Accipiter francesiae;Smith, 1834;Accipiter francesiae Smith, 1834;Accipiter francesii A. Smith, 1834;Épervier de Mayotte;;3;;;;;;;;P;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;441606;188728;441606;ES;Accipiter francesii;A. Smith, 1834;Accipiter francesii A. Smith, 1834;Accipiter francesii A. Smith, 1834;Épervier de Mayotte;;3;;;;;;;;P;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;418715;441606;418715;SSES;Accipiter francesii brutus;(Schlegel, 1866);Accipiter francesii brutus (Schlegel, 1866);Accipiter francesii brutus (Schlegel, 1866);Épervier de Frances;;3;A;A;A;A;A;A;A;E;A;A;A;A;A;A;A;A;A
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;2891;188728;2891;ES;Accipiter gentilis;(Linnaeus, 1758);Accipiter gentilis (Linnaeus, 1758);Accipiter gentilis (Linnaeus, 1758);Autour des palombes;Northern Goshawk;3;P;;;;;;P;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;416684;0;2891;ES;Astur palumbarius;Linnaeus, 1758;Astur palumbarius Linnaeus, 1758;Accipiter gentilis (Linnaeus, 1758);Autour des palombes;Northern Goshawk;3;P;;;;;;P;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;2893;0;2891;ES;Falco gentilis;Linnaeus, 1758;Falco gentilis Linnaeus, 1758;Accipiter gentilis (Linnaeus, 1758);Autour des palombes;Northern Goshawk;3;P;;;;;;P;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;2894;2891;2894;SSES;Accipiter gentilis arrigonii;(Kleinschmidt, 1903);Accipiter gentilis arrigonii (Kleinschmidt, 1903);Accipiter gentilis arrigonii (Kleinschmidt, 1903);Autour des palombes (ssp. de Corse);;3;P;;;;;;;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;782301;2891;782301;SSES;Accipiter gentilis gentilis;(Linnaeus, 1758);Accipiter gentilis gentilis (Linnaeus, 1758);Accipiter gentilis gentilis (Linnaeus, 1758);;;3;P;;;;;;;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;432607;188728;432607;ES;Accipiter haplochrous;P. L. Sclater, 1859;Accipiter haplochrous P. L. Sclater, 1859;Accipiter haplochrous P. L. Sclater, 1859;Autour à ventre blanc, Émouchet bleu, Épervier à ventre blanc, Buse blanche, Buse;;3;A;A;A;A;A;A;A;A;A;A;A;A;A;E;A;A;A
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;2895;188728;2895;ES;Accipiter nisus;(Linnaeus, 1758);Accipiter nisus (Linnaeus, 1758);Accipiter nisus (Linnaeus, 1758);Épervier d'Europe;Eurasian Sparrowhawk;3;P;;;;;;;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;2898;0;2895;SSES;Accipiter nisus nisus;(Linnaeus, 1758);Accipiter nisus nisus (Linnaeus, 1758);Accipiter nisus (Linnaeus, 1758);Épervier d'Europe;Eurasian Sparrowhawk;3;P;;;;;;;;;;;;;;;;
Animalia;Chordata;Aves;Accipitriformes;Accipitridae;2899;0;2895;SSES;Accipiter nisus wolterstorffi;Kleinschmidt, 1901;Accipiter nisus wolterstorffi Kleinschmidt, 1901;Accipiter nisus (Linnaeus, 1758);Épervier d'Europe;Eurasian Sparrowhawk;3;P;;;;;;;;;;;;;;;;
